trial,condition,duration,marker
0,right,10.0,3
1,rest,15.893,0
2,right,10.0,3
3,rest,18.094,0
4,left,10.0,2
5,rest,10.065,0
6,right,10.0,3
7,rest,18.058,0
8,right,10.0,3
9,rest,16.981,0
10,left,10.0,2
11,rest,13.403,0
12,left,10.0,2
13,rest,11.555,0
14,right,10.0,3
15,rest,19.572,0
16,right,10.0,3
17,rest,13.366,0
18,control,10.0,1
19,rest,10.927,0
20,right,10.0,3
21,rest,10.967,0
22,right,10.0,3
23,rest,18.475,0
24,left,10.0,2
25,rest,16.037,0
26,right,10.0,3
27,rest,18.071,0
28,control,10.0,1
29,rest,17.297,0
30,right,10.0,3
31,rest,15.362,0
32,left,10.0,2
33,rest,19.731,0
34,control,10.0,1
35,rest,13.785,0
36,left,10.0,2
37,rest,15.52,0
38,control,10.0,1
39,rest,18.294,0
40,left,10.0,2
41,rest,16.185,0
42,left,10.0,2
43,rest,18.617,0
44,left,10.0,2
45,rest,15.774,0
46,left,10.0,2
47,rest,17.046,0
48,control,10.0,1
